2025-03-05 10:30 - 2025-03-05 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-12 10:30 - 2025-03-12 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-19 10:30 - 2025-03-19 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-26 10:30 - 2025-03-26 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-02 10:30 - 2025-04-02 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-09 10:30 - 2025-04-09 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-16 10:30 - 2025-04-16 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-23 10:30 - 2025-04-23 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-30 10:30 - 2025-04-30 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-07 10:30 - 2025-05-07 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-14 10:30 - 2025-05-14 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-21 10:30 - 2025-05-21 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-28 10:30 - 2025-05-28 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-06-04 10:30 - 2025-06-04 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-07 10:30 - 2025-03-07 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-14 10:30 - 2025-03-14 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-21 10:30 - 2025-03-21 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-28 10:30 - 2025-03-28 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-04 10:30 - 2025-04-04 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-11 10:30 - 2025-04-11 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-18 10:30 - 2025-04-18 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-04-25 10:30 - 2025-04-25 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-02 10:30 - 2025-05-02 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-09 10:30 - 2025-05-09 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-16 10:30 - 2025-05-16 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
